# real imaginary
-0.000000 0.000000
-0.000000 0.000000
-0.000000 -0.000000
16000.000000 -0.000000
0.000000 -0.000000
0.000000 -0.000000
0.000000 -0.000000
4800.000000 -0.000000
0.000000 -0.000000
-0.000000 0.000000
-0.000000 0.000000
-0.000000 -0.000000
8000.000000 -0.000000
0.000000 -0.000000
0.000000 -0.000000
0.000000 0.000000
-0.000000 -0.000000
0.000000 -0.000000
0.000000 0.000000
0.000000 0.000000
8000.000000 0.000000
-0.000000 0.000000
-0.000000 0.000000
-0.000000 -0.000000
0.000000 0.000000
-4800.000000 -0.000000
0.000000 0.000000
0.000000 0.000000
-0.000000 0.000000
16000.000000 0.000000
-0.000000 0.000000
-0.000000 0.000000
